timestamp,team,ltp,delta,rolling_avg,volatility,signal,prediction
1735703687103,Wellington Firebirds,2.8,0.24,2.408,0.274,SPIKE,DOWN
1735703747113,Northern Brave,1.58,0.03,1.688,0.145,SPIKE,UP
1735703747113,Wellington Firebirds,2.72,-0.08,2.496,0.292,SPIKE,DOWN
1735703807145,Northern Brave,1.55,-0.03,1.644,0.148,SPIKE,UP
1735703807145,Wellington Firebirds,2.8,0.08,2.596,0.294,SPIKE,DOWN
1735703866819,Northern Brave,1.52,-0.03,1.568,0.045,,UP
1735703866819,Wellington Firebirds,3.0,0.2,2.776,0.159,SPIKE,DOWN
1735703927079,Northern Brave,1.49,-0.03,1.538,0.034,,UP
1735704046584,Northern Brave,1.5,0.01,1.528,0.037,,UP
1735704107158,Northern Brave,1.35,-0.15,1.482,0.077,SPIKE,UP
1735704107158,Wellington Firebirds,3.85,0.85,3.034,0.468,SPIKE,DOWN
1735704167082,Northern Brave,1.34,-0.01,1.44,0.087,SPIKE,UP
1735704227157,Northern Brave,1.35,0.01,1.406,0.081,,UP
1735704227157,Wellington Firebirds,3.75,-0.1,3.224,0.537,SPIKE,DOWN
1735704287103,Northern Brave,1.33,-0.02,1.374,0.071,SPIKE,UP
1735704287103,Wellington Firebirds,4.0,0.25,3.48,0.542,SPIKE,DOWN
1735704346855,Northern Brave,1.38,0.05,1.35,0.019,,DOWN
1735704346855,Wellington Firebirds,3.6,-0.4,3.64,0.386,SPIKE,UP
1735704406922,Northern Brave,1.37,-0.01,1.354,0.021,,DOWN
1735704406922,Wellington Firebirds,3.7,0.1,3.78,0.152,,UP
1735704467076,Northern Brave,1.4,0.03,1.366,0.027,,DOWN
1735704467076,Wellington Firebirds,3.6,-0.1,3.73,0.164,,UP
1735704526965,Wellington Firebirds,3.5,-0.1,3.68,0.192,SPIKE,UP
1735704587112,Wellington Firebirds,3.55,0.05,3.59,0.074,,UP
1735704647071,Northern Brave,1.25,-0.15,1.346,0.059,,UP
1735704647071,Wellington Firebirds,5.0,1.45,3.87,0.636,SPIKE,DOWN
1735704707125,Northern Brave,1.26,0.01,1.332,0.071,,UP
1735704707125,Wellington Firebirds,4.8,-0.2,4.09,0.744,SPIKE,DOWN
1735704767118,Northern Brave,1.23,-0.03,1.302,0.077,SPIKE,UP
1735704767118,Wellington Firebirds,5.2,0.4,4.41,0.82,SPIKE,DOWN
1735704827157,Northern Brave,1.25,0.02,1.278,0.069,SPIKE,UP
1735704827157,Wellington Firebirds,4.9,-0.3,4.69,0.654,SPIKE,DOWN
1735704887149,Northern Brave,1.24,-0.01,1.246,0.011,,UP
1735704887149,Wellington Firebirds,5.1,0.2,5.0,0.158,,DOWN
1735704947083,Northern Brave,1.25,0.01,1.246,0.011,,DOWN
1735704947083,Wellington Firebirds,5.0,-0.1,5.0,0.158,,DOWN
1735705066693,Northern Brave,1.27,0.02,1.248,0.015,,DOWN
1735705066693,Wellington Firebirds,4.7,-0.3,4.98,0.192,,UP
1735705126828,Northern Brave,1.28,0.01,1.258,0.016,,DOWN
1735705126828,Wellington Firebirds,4.5,-0.2,4.84,0.241,,UP
1735705187092,Northern Brave,1.32,0.04,1.272,0.031,,DOWN
1735705187092,Wellington Firebirds,5.0,0.5,4.86,0.251,,DOWN
1735705247143,Northern Brave,1.38,0.06,1.3,0.051,SPIKE,DOWN
1735705247143,Wellington Firebirds,3.9,-1.1,4.62,0.455,SPIKE,UP
1735705307029,Wellington Firebirds,3.55,-0.35,4.33,0.593,SPIKE,UP
1735705367084,Northern Brave,1.47,0.09,1.344,0.083,SPIKE,DOWN
1735705367084,Wellington Firebirds,3.1,-0.45,4.01,0.754,SPIKE,UP
1735705426871,Northern Brave,1.45,-0.02,1.38,0.082,SPIKE,DOWN
1735705426871,Wellington Firebirds,3.25,0.15,3.76,0.758,SPIKE,UP
1735705487123,Wellington Firebirds,3.2,-0.05,3.4,0.326,SPIKE,UP
1735705546268,Northern Brave,1.43,-0.02,1.41,0.06,,DOWN
1735705546268,Wellington Firebirds,3.3,0.1,3.28,0.168,,DOWN
1735705666999,Northern Brave,1.51,0.08,1.448,0.048,,DOWN
1735705666999,Wellington Firebirds,2.98,-0.32,3.166,0.128,,UP
1735705726813,Northern Brave,1.58,0.07,1.488,0.059,,DOWN
1735705726813,Wellington Firebirds,2.8,-0.18,3.106,0.21,SPIKE,UP
1735705786979,Northern Brave,1.59,0.01,1.512,0.073,,DOWN
1735705786979,Wellington Firebirds,2.68,-0.12,2.992,0.261,SPIKE,UP
1735705847094,Northern Brave,1.61,0.02,1.544,0.074,SPIKE,DOWN
1735705847094,Wellington Firebirds,2.62,-0.06,2.876,0.274,SPIKE,UP
1735705907051,Northern Brave,1.59,-0.02,1.576,0.038,,DOWN
1735705907051,Wellington Firebirds,2.68,0.06,2.752,0.143,SPIKE,UP
1735705967135,Northern Brave,1.61,0.02,1.596,0.013,,DOWN
1735705967135,Wellington Firebirds,2.62,-0.06,2.68,0.073,,UP
1735706027002,Wellington Firebirds,2.64,0.02,2.648,0.03,,UP
1735706086960,Northern Brave,1.6,-0.01,1.6,0.01,,DOWN
1735706086960,Wellington Firebirds,2.66,0.02,2.644,0.026,,DOWN
1735706147096,Northern Brave,1.58,-0.02,1.598,0.013,,UP
1735706147096,Wellington Firebirds,2.72,0.06,2.664,0.038,,DOWN
1735706206824,Northern Brave,1.51,-0.07,1.578,0.04,,UP
1735706206824,Wellington Firebirds,2.92,0.2,2.712,0.122,SPIKE,DOWN
1735706267112,Northern Brave,1.36,-0.15,1.532,0.104,SPIKE,UP
1735706267112,Wellington Firebirds,3.7,0.78,2.928,0.446,SPIKE,DOWN
1735706327079,Northern Brave,1.37,0.01,1.484,0.114,SPIKE,UP
1735706327079,Wellington Firebirds,3.85,0.15,3.17,0.563,SPIKE,DOWN
1735706386829,Northern Brave,1.4,0.03,1.444,0.097,SPIKE,UP
1735706386829,Wellington Firebirds,3.5,-0.35,3.338,0.494,SPIKE,DOWN
1735706446904,Northern Brave,1.42,0.02,1.412,0.06,,DOWN
1735706446904,Wellington Firebirds,3.3,-0.2,3.454,0.363,SPIKE,UP
1735706506763,Northern Brave,1.43,0.01,1.396,0.03,,DOWN
1735706566717,Northern Brave,1.4,-0.03,1.404,0.023,,UP
1735706566717,Wellington Firebirds,3.5,0.2,3.57,0.211,,UP
1735706627103,Northern Brave,1.37,-0.03,1.404,0.023,,UP
1735706627103,Wellington Firebirds,3.6,0.1,3.55,0.2,,DOWN
1735706686954,Northern Brave,1.38,0.01,1.4,0.025,,UP
1735706686954,Wellington Firebirds,3.55,-0.05,3.49,0.114,,DOWN
1735706747108,Northern Brave,1.43,0.05,1.402,0.028,,DOWN
1735706747108,Wellington Firebirds,3.4,-0.15,3.47,0.12,,UP
1735706807166,Northern Brave,1.56,0.13,1.428,0.077,SPIKE,DOWN
1735706807166,Wellington Firebirds,2.8,-0.6,3.37,0.327,SPIKE,UP
1735706867093,Northern Brave,1.43,-0.13,1.434,0.076,,UP
1735706867093,Wellington Firebirds,3.5,0.7,3.37,0.327,,DOWN
1735706926662,Northern Brave,1.4,-0.03,1.44,0.07,,UP
1735706987126,Northern Brave,1.39,-0.01,1.442,0.068,,UP
1735706987126,Wellington Firebirds,3.55,0.05,3.36,0.319,,DOWN
1735707047164,Northern Brave,1.47,0.08,1.45,0.069,,DOWN
1735707047164,Wellington Firebirds,3.15,-0.4,3.28,0.309,,UP
1735707107140,Northern Brave,1.57,0.1,1.452,0.073,,DOWN
1735707107140,Wellington Firebirds,2.74,-0.41,3.148,0.379,,UP
1735707167112,Northern Brave,1.65,0.08,1.496,0.112,SPIKE,DOWN
1735707167112,Wellington Firebirds,2.54,-0.2,3.096,0.449,SPIKE,UP
1735707226758,Northern Brave,1.5,-0.15,1.516,0.099,,UP
1735707226758,Wellington Firebirds,2.5,-0.04,2.896,0.447,SPIKE,UP
1735707287151,Northern Brave,1.66,0.16,1.57,0.086,SPIKE,DOWN
1735707287151,Wellington Firebirds,2.52,0.02,2.69,0.275,SPIKE,UP
1735707347006,Northern Brave,1.5,-0.16,1.576,0.078,,UP
1735707347006,Wellington Firebirds,3.0,0.48,2.66,0.213,,DOWN
1735707406950,Northern Brave,1.47,-0.03,1.556,0.091,SPIKE,UP
1735707406950,Wellington Firebirds,3.1,0.1,2.732,0.293,SPIKE,DOWN
1735707467115,Northern Brave,1.56,0.09,1.538,0.076,,DOWN
1735707467115,Wellington Firebirds,3.15,0.05,2.854,0.319,SPIKE,DOWN
1735707527084,Northern Brave,1.73,0.17,1.584,0.109,,DOWN
1735707527084,Wellington Firebirds,2.36,-0.79,2.826,0.361,,UP
1735707587043,Northern Brave,1.67,-0.06,1.586,0.111,SPIKE,DOWN
1735707587043,Wellington Firebirds,2.48,0.12,2.818,0.37,SPIKE,UP
1735707647032,Northern Brave,1.56,-0.11,1.598,0.102,,UP
1735707647032,Wellington Firebirds,2.74,0.26,2.766,0.356,SPIKE,UP
1735707707094,Northern Brave,1.59,0.03,1.622,0.075,,UP
1735707707094,Wellington Firebirds,2.68,-0.06,2.682,0.303,SPIKE,UP
1735707767135,Northern Brave,1.58,-0.01,1.626,0.072,,UP
1735707826731,Northern Brave,1.57,-0.01,1.594,0.044,,UP
1735707826731,Wellington Firebirds,2.74,0.06,2.6,0.171,SPIKE,DOWN
1735707886287,Northern Brave,1.6,0.03,1.58,0.016,,DOWN
1735707886287,Wellington Firebirds,2.66,-0.08,2.66,0.107,,DOWN
1735707947134,Northern Brave,1.56,-0.04,1.58,0.016,,UP
1735707947134,Wellington Firebirds,2.82,0.16,2.728,0.063,,DOWN
1735708005693,Northern Brave,1.57,0.01,1.576,0.015,,UP
1735708005693,Wellington Firebirds,2.74,-0.08,2.728,0.063,,DOWN
1735708066795,Northern Brave,1.58,0.01,1.576,0.015,,DOWN
1735708066795,Wellington Firebirds,2.72,-0.02,2.736,0.057,,UP
1735708126663,Wellington Firebirds,2.74,0.02,2.736,0.057,,DOWN
1735708186724,Northern Brave,1.57,-0.01,1.576,0.015,,UP
1735708246866,Northern Brave,1.58,0.01,1.572,0.008,,DOWN
1735708246866,Wellington Firebirds,2.72,-0.02,2.748,0.041,,UP
1735708306022,Northern Brave,1.57,-0.01,1.574,0.005,,UP
1735708306022,Wellington Firebirds,2.76,0.04,2.736,0.017,,DOWN
1735708367062,Wellington Firebirds,2.74,-0.02,2.736,0.017,,DOWN
1735708427107,Northern Brave,1.61,0.04,1.582,0.016,,DOWN
1735708427107,Wellington Firebirds,2.62,-0.12,2.716,0.055,,UP
1735708486753,Northern Brave,1.62,0.01,1.59,0.023,,DOWN
1735708486753,Wellington Firebirds,2.6,-0.02,2.688,0.073,,UP
1735708547004,Northern Brave,1.54,-0.08,1.584,0.032,,UP
1735708547004,Wellington Firebirds,2.84,0.24,2.712,0.101,,DOWN
1735708606968,Northern Brave,1.46,-0.08,1.56,0.064,,UP
1735708606968,Wellington Firebirds,3.15,0.31,2.79,0.223,SPIKE,DOWN
1735708667006,Northern Brave,1.31,-0.15,1.508,0.128,SPIKE,UP
1735708667006,Wellington Firebirds,4.1,0.95,3.062,0.621,SPIKE,DOWN
1735708727064,Northern Brave,1.29,-0.02,1.444,0.143,SPIKE,UP
1735708727064,Wellington Firebirds,4.4,0.3,3.418,0.791,SPIKE,DOWN
1735708787077,Northern Brave,1.25,-0.04,1.37,0.124,SPIKE,UP
1735708787077,Wellington Firebirds,5.0,0.6,3.898,0.892,SPIKE,DOWN
1735708847077,Northern Brave,1.22,-0.03,1.306,0.093,SPIKE,UP
1735708847077,Wellington Firebirds,5.5,0.5,4.43,0.897,SPIKE,DOWN
1735708907100,Northern Brave,1.25,0.03,1.264,0.036,,UP
1735708907100,Wellington Firebirds,5.0,-0.5,4.8,0.552,SPIKE,DOWN
1735708966988,Northern Brave,1.24,-0.01,1.25,0.025,,UP
1735708966988,Wellington Firebirds,5.1,0.1,5.0,0.394,SPIKE,DOWN
1735709027152,Northern Brave,1.26,0.02,1.244,0.015,,DOWN
1735709027152,Wellington Firebirds,5.0,-0.1,5.12,0.217,,UP
1735709087002,Northern Brave,1.2,-0.06,1.234,0.024,,UP
1735709087002,Wellington Firebirds,6.2,1.2,5.36,0.513,SPIKE,DOWN
1735709147159,Northern Brave,1.11,-0.09,1.212,0.061,SPIKE,UP
